,Linear,Ridge,Lasso,Linear_rank,Ridge_rank,Lasso_rank
region,0.8297887980166478,0.8161801755514564,0.0,1.0,1.0,1.0
state,0.7978732195775782,0.7846149640527926,0.0,2.0,2.0,1.0
condition,0.020606987000760392,0.02060721508875798,0.0,3.0,3.0,1.0
transmission,0.018912148879178924,0.018910196411418355,0.0,4.0,4.0,1.0
year,0.01692321962113763,0.01692193228607456,0.0,5.0,5.0,1.0
log_odometer,0.015034473903316881,0.015033657849486992,0.0,6.0,6.0,1.0
drive,0.014359265328784154,0.014359492437882426,0.0,7.0,7.0,1.0
type,0.009452435550663918,0.009452480183998047,0.0,8.0,8.0,1.0
model,0.00660484044518952,0.006604994039567292,0.0,9.0,9.0,1.0
manufacturer,0.0011581096858149452,0.0011582358156909777,0.0,10.0,10.0,1.0
